Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17",0603,2,1uF,
"C10, C16, C18, C2, C4, C6, C8, C9",0603,8,100nF,
"C11, C12, C13, C15",0603,4,22uF,
C14,0603,1,75pF,
"C3, C5, C7",0603,3,10uF,
D1,D_SMA,1,SMAJ6.0CA,
J1,PinHeader_1x06_P2.54mm_Horizontal,1,FTDI232 Connector,
J2,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,POWER INPUT,
J3,FanPinHeader_1x03_P2.54mm_Vertical,1,ADC,
J4,FanPinHeader_1x04_P2.54mm_Vertical,1,I2C,
J5,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,1,DE9_Pins,
J6,FanPinHeader_1x03_P2.54mm_Vertical,1,UART,
"L1, L2",L_APV_ANR4030,2,10uH,
"Q1, Q2",SOT-23,2,SS8050,
R1,0603,1,10k,
R11,0603,1,2k,
"R12, R13, R14",0603,3,4.7k,
"R2, R3",0603,2,12k,
R4,0603,1,511k,
R5,0603,1,105k,
R6,0603,1,49.9k,
R7,0603,1,100k,
R8,0603,1,13.3k,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,BOOT,
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U2,SOT-23-6,1,TPS54302,
U3,TSOT-23-6,1,AP63203WU,
U4,DFN-8-1EP_2x2mm_P0.5mm_EP0.6x1.2mm,1,SHT31A-DIS,
U5,AMS_LGA-10-1EP_2.7x4mm_P0.6mm,1,CCS811,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,
