Id;Designator;Footprint;Quantity;Designation;Supplier and ref
1;J3,M1,J1,J4;AMASS_XT60-F_1x02_P7.20mm_Vertical;4;XT60-M;
2;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;37;;
3;R2,R7,R6,R9,R1;R_0603_1608Metric;5;100k;
4;D6,D7;D_SMA;2;B540C;
5;C26,C22,C9,C13;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;4;0.01uF;
6;12V_5A Jetson Nano,12V_1A;AMASS_XT30UPB-M_1x02_P5.0mm_Vertical;2;XT30UPB-M;
7;R4;R_0603_1608Metric;1;10k;
8;C8,C20;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;2;1uF;
9;C16,C5;C_1206_3216Metric;2;4.7uF;
10;C19,C7;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;2;220nF;
11;RV1;Potentiometer_Bourns_3266Z_Horizontal;1;10k;
12;C3,C6,C18,C4,C15,C17;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;6;4.7uF;
13;R5;R_0603_1608Metric;1;1.13k;
14;R8;R_0603_1608Metric;1;24.9k;
15;L4,L2;L_Wurth_WE-LQSH-4020;2;15uH;
16;U6,U9;TI_SO-PowerPAD-8_ThermalVias;2;TPS5450DDA;
17;D4,D2,D5,D3;D_SMA;4;D_Zener;
18;5V_1A,5V_ADJ;AMASS_XT30U-F_1x02_P5.0mm_Vertical;2;XT30UPB-M;
19;C12,C14,C25,C24;C_1206_3216Metric;4;22uF;
20;U8,U7;Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias;2;LMR33610ADDAR;
21;C11,C23;CP_EIA-1608-10_AVX-L;2;330uF;
22;;29548ad2-03e3-42cf-bff7-278db09b4abb;1;;
23;D1;D_SMA_Handsoldering;1;SB130;
24;L3,L1;L_Wurth_WE-LQSH-4020;2;10uH;
25;C1;CP_EIA-7343-40_Kemet-Y;1;C_Polarized;
26;C2;C_1206_3216Metric;1;100nF;
27;R3;R_0603_1608Metric;1;9.09k;
28;C21,C10;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;2;0.1uF;
29;;2d8a1ed6-01ba-462d-b9ff-4f236c5c597e;1;;
