Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C21",0603,2,0.1uF,
"C11, C23, C27",CP_EIA-7343-43_Kemet-X_HandSolder,3,220uF,
"C12, C14, C24, C25",1206,4,22uF,
"C13, C22, C26, C9",0603,4,0.01uF,
"C15, C17, C18, C3, C4, C6",0603,6,4.7uF,
"C16, C5",1206,2,4.7uF,
"C19, C7",0603,2,220nF,
C2,1206,1,100nF,
"C20, C8",0603,2,1uF,
"D2, D3, D4, D5",D_SMA,4,SMBJ16A-13-F,
"D6, D7",D_SMA,2,B540C,
D8,D_SMA,1,SS5200,
"J1, J2, J3, J4",AMASS_XT60-F_1x02_P7.20mm_Vertical,4,XT60-M,
"L1, L3",L_7.3x7.3_H3.5,2,10uH,
"L2, L4",L_7.3x7.3_H3.5,2,15uH,
"R1, R2, R6, R7, R9",0603,5,100k,
R3,0603,1,9.09k,
R4,0603,1,10k,
R5,0603,1,1.13k,
R8,0603,1,24.9k,
RV1,Potentiometer_Bourns_3296W_Vertical,1,10k,
"U2, U3, U4, U5",AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,4,XT30UPB-M,
"U6, U9",TI_SO-PowerPAD-8_ThermalVias,2,TPS5450DDA,
"U7, U8",Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,2,LMR33610ADDAR,
