Designator,Mid X,Mid Y,Rotation,Layer
C10,166.4375,-91.6,180.0,top
C11,170.3,-78.8,0.0,top
C12,160.5375,-103.8,180.0,top
C13,159.8,-74.8,180.0,top
C14,160.5625,-106.5,180.0,top
C15,224.5,-99.5,0.0,top
C16,223.2,-66.36,270.0,top
C17,224.5,-97.8,0.0,top
C18,224.5,-96.1,0.0,top
C19,220.8,-65.66,270.0,top
C2,198.9,-116.0,270.0,top
C20,207.7375,-63.5,180.0,top
C21,210.9,-65.6375,270.0,top
C22,220.4,-102.7,90.0,top
C23,226.7,-89.4,90.0,top
C24,223.2,-73.06,90.0,top
C25,226.1,-73.0225,90.0,top
C26,230.9,-91.7375,90.0,top
C27,193.6,-116.7075,270.0,top
C3,159.8,-69.6,180.0,top
C4,159.8,-71.3,180.0,top
C5,166.0,-103.8,180.0,top
C6,159.8,-73.0,180.0,top
C7,166.7375,-101.7,180.0,top
C8,168.6,-88.9375,90.0,top
C9,163.9,-64.9,270.0,top
D2,154.9,-74.0,270.0,top
D3,154.1,-98.4,270.0,top
D4,230.6,-73.2,90.0,top
D5,230.9,-98.0,90.0,top
D6,167.5,-63.6,90.0,top
D7,217.6,-103.9,270.0,top
D8,187.8,-115.7,270.0,top
J1,227.037019,-49.39221,120.0,top
J2,155.925481,-49.39221,60.0,top
J3,225.925481,-125.39221,60.0,top
J4,158.474519,-125.39221,120.0,top
L1,160.7,-96.9,270.0,top
L2,167.1,-72.0,270.0,top
L3,216.0,-71.56,0.0,top
L4,217.6,-95.8,90.0,top
R1,156.2,-68.3875,90.0,top
R2,171.7,-91.0875,270.0,top
R3,171.7,-95.0,270.0,top
R4,157.1,-59.8,180.0,top
R5,156.2,-63.0,90.0,top
R6,228.1,-100.9,270.0,top
R7,210.1,-60.5,0.0,top
R8,214.0,-60.46,0.0,top
R9,228.8,-106.6125,270.0,top
RV1,224.6,-111.3,0.0,top
U2,148.0,-73.5,90.0,top
U3,148.0,-98.5,270.0,top
U4,236.0,-73.5,90.0,top
U5,236.5,-98.6,90.0,top
U6,160.0,-64.8,270.0,top
U7,167.95,-96.85,90.0,top
U8,215.75,-64.15,180.0,top
U9,224.3,-104.5,90.0,top
