Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
"C10, C9",0805,2,22uF,
"C11, C15, C2, C3, C4, C5, C6",0603,7,100nF,
"C12, C16",0603,2,2.2uF,
"C13, C14",0603,2,10nF,
"C7, C8",0603,2,10pF,
D1,0805,1,LED,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB-C,
J2,PinHeader_1x04_P2.54mm_Vertical,1,SWD,
R1,0603,1,10k,
"R2, R3",0603,2,5k1,
"R4, R5",0603,2,4k7,
R6,0603,1,1k,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
"U2, U4",PQFN50P300X250X97-14N,2,ICM-42688-P,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
