Designator,Mid X,Mid Y,Rotation,Layer
C1,222.9,-49.9,90.0,top
C10,244.05,-47.7,180.0,top
C11,230.878313,-43.628867,270.0,top
C12,232.9,-43.628867,270.0,top
C13,227.825,-46.1,180.0,top
C14,225.415357,-69.768393,0.0,top
C15,229.556911,-68.645844,90.0,top
C16,231.4,-68.645844,90.0,top
C2,234.3,-53.2,90.0,top
C3,224.95702,-49.909503,90.0,top
C4,221.16751,-53.351159,90.0,top
C5,230.457802,-63.75595,270.0,top
C6,221.3,-58.35,270.0,top
C7,219.3,-58.35,270.0,top
C8,219.326579,-54.625,90.0,top
C9,237.65,-41.9,90.0,top
D1,238.7,-66.3375,270.0,top
J1,244.942391,-56.4,90.0,top
J2,230.73,-33.0,90.0,top
R1,220.7,-41.2,0.0,top
R2,238.290908,-58.474606,90.0,top
R3,238.290908,-53.816409,270.0,top
R4,230.6,-49.2,0.0,top
R5,227.4,-49.2,180.0,top
R6,236.0,-66.4,270.0,top
SW1,214.343646,-43.439606,270.0,top
U1,227.7,-56.9,270.0,top
U2,227.635,-43.65,0.0,top
U3,244.0,-42.0,180.0,top
U4,226.7,-67.115,0.0,top
Y1,215.321142,-56.276777,225.0,top
