Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
"C1, C2",CP_Elec_6.3x7.7,2,220uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C19, C20, C3, C4, C9",0603,13,100nF,
C18,0603,1,10nF,
"C21, C22, C23, C24, C25",0603,5,1uF,
C26,0603,1,47pF,
"C5, C6",CP_Elec_8x10,2,220uF,
"C7, C8",0603,2,22pF,
"D1, D2",D_SMC_Handsoldering,2,SK54-HT,
"D3, D4, D5",0603,3,LED,
FB1,0805,1,1k FerriteBead,
J1,PinSocket_1x07_P2.54mm_Vertical,1,MS5611,
J10,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,FUNYE1,
J11,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,FUNYE2,
J12,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,VCC,
J2,PinSocket_1x05_P2.54mm_Vertical,1,GPS,
J3,PinSocket_1x07_P2.54mm_Vertical,1,LoRa E22,
J4,PinSocket_1x10_P2.54mm_Vertical,1,MPU9250,
J5,DSUB-9_Socket_Vertical_P2.77x2.84mm_MountingHoles,1,DE9_Pins,
J6,SMA_Amphenol_132134-11_Vertical,1,GPS_ANT,
J8,PinSocket_1x06_P2.54mm_Horizontal,1,USB-TTL,
J9,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
"L1, L2",L_12x12mm_H6mm,2,33uH,
"Q1, Q2",TO-220-3_Vertical,2,IRLZ44N,
"R1, R15, R2",0603,3,1k,
"R10, R11, R12, R13, R16, R20, R21, R4, R9",0603,9,10k,
R14,0603,1,20k,
R17,0603,1,10,
"R18, R19, R7, R8",0603,4,220,
R3,0603,1,1M,
"R5, R6",0603,2,4.7k,
SW1,SW_PUSH_6mm_H5mm,1,RESET,
U1,TO-263-5_TabPin3,1,LM2596S-3.3,
U2,TO-263-5_TabPin3,1,LM2596S-5,
U3,TQFP-100_14x14mm_P0.5mm,1,ATmega2560-16A,
U4,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,
U5,ublox_NEO,1,NEO-M8N,
U6,InvenSense_QFN-24_3x3mm_P0.4mm,1,MPU-9250,
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX3232,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
