Designator,Mid X,Mid Y,Rotation,Layer
BZ1,169.4,-117.9,0.0,top
C1,157.6,-70.3,90.0,top
C10,146.4,-91.5,270.0,top
C11,139.8,-100.3375,270.0,top
C12,146.6375,-113.8375,0.0,top
C13,162.769577,-104.103317,180.0,top
C14,155.0,-91.475,270.0,top
C15,144.5,-91.475,270.0,top
C16,127.4875,-90.193169,0.0,top
C17,154.775,-137.15,90.0,top
C18,130.1,-140.5375,270.0,top
C19,137.673162,-135.776668,180.0,top
C2,142.775,-64.325,270.0,top
C20,133.6,-140.5375,90.0,top
C21,124.076838,-120.071171,180.0,top
C22,124.9,-132.6,0.0,top
C23,117.5,-122.3,0.0,top
C24,121.7,-122.25588,180.0,top
C25,125.345448,-122.249398,180.0,top
C26,105.3075,-101.549999,90.0,top
C3,137.275,-67.925,270.0,top
C4,162.5,-66.7,90.0,top
C5,116.95,-75.425,0.0,top
C6,182.8425,-59.2,180.0,top
C7,153.1,-116.3375,180.0,top
C8,144.6,-116.3375,0.0,top
C9,185.0,-136.2,90.0,top
D1,131.675,-58.225,0.0,top
D2,168.5,-76.4,180.0,top
D3,143.8,-76.225,270.0,top
D4,148.1,-76.1625,90.0,top
D5,191.6,-130.54,90.0,top
FB1,106.45,-106.0,180.0,top
J1,156.68,-149.0,90.0,top
J10,192.3,-106.3,90.0,top
J11,192.3,-94.8,90.0,top
J12,153.25,-55.4275,180.0,top
J2,100.725,-95.23,0.0,top
J3,196.2,-123.16,0.0,top
J4,127.65,-148.9,90.0,top
J5,105.48,-125.27,270.0,top
J6,118.36,-113.56,90.0,top
J8,178.525,-140.4,90.0,top
J9,131.04,-106.67,90.0,top
L1,116.275,-61.625,270.0,top
L2,183.5,-73.0,90.0,top
Q1,184.0,-106.3,90.0,top
Q2,184.2,-94.66,90.0,top
R1,141.9,-76.2125,90.0,top
R10,131.739655,-140.5375,270.0,top
R11,132.5,-129.3875,90.0,top
R12,135.4,-140.5375,270.0,top
R13,191.675,-118.7275,90.0,top
R14,191.675,-122.54,90.0,top
R15,191.630551,-126.612821,90.0,top
R16,161.2,-117.0,270.0,top
R17,107.5,-101.5,90.0,top
R18,178.9,-107.918342,270.0,top
R19,178.758328,-96.290598,270.0,top
R2,150.1,-76.1875,270.0,top
R20,176.956244,-107.9125,90.0,top
R21,176.758328,-96.290598,90.0,top
R3,148.8,-116.3375,180.0,top
R4,185.0,-132.5,270.0,top
R5,145.5,-130.675,90.0,top
R6,147.3,-130.6875,90.0,top
R7,127.4875,-93.7,180.0,top
R8,127.4875,-91.9,180.0,top
R9,107.5,-97.8,270.0,top
SW1,193.9,-137.7,270.0,top
U1,129.975,-73.325,270.0,top
U2,170.0,-61.3,90.0,top
U3,151.0,-103.1,270.0,top
U4,158.5,-137.125,0.0,top
U5,116.8,-96.1,0.0,top
U6,132.702155,-134.783804,0.0,top
U7,121.3,-127.4,180.0,top
Y1,148.69,-121.6375,0.0,top
