"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J10";"MOLEX_503398-1892";1;"Micro_SD_Card";;;
2;"C3,C10,C1,C14,C6,C49,C13,C2,C11,C12,C9,C22,C23,C26,C24,C35,C50";"C_0402_1005Metric";17;"100nF";;;
3;"U4";"SOIC127P602X172-8N";1;"FRAM";;;
4;"U2";"PQFN50P300X250X97-14N";1;"ICM-42688-P";;;
5;"J5";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"I2C1";;;
6;"C21";"C_1210_3225Metric";1;"22uF";;;
7;"Y1";"Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm";1;"8MHz";;;
8;"U3";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGTx";;;
9;"J9";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"ST-Link Conn";;;
10;"C16,C4,C17,C36";"C_0402_1005Metric";4;"2.2uF";;;
11;"J7";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"CAM";;;
12;"R5,R4,R1";"R_0402_1005Metric";3;"0R";;;
13;"J1";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"UART1";;;
14;"R24,R23";"R_0402_1005Metric";2;"4.7k";;;
15;"C5,C15";"C_0402_1005Metric";2;"10nF";;;
16;"J3";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"UART3";;;
17;"J4";"JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal";1;"SPI2";;;
18;"C25";"C_1210_3225Metric";1;"100uF";;;
19;"C8,C7";"C_0402_1005Metric";2;"8pF";;;
20;"J2";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"CAN1";;;
21;"R2,R3";"R_0402_1005Metric";2;"10k";;;
22;"C19,C18";"C_0402_1005Metric";2;"22pF";;;
23;"U11";"LGA-8_3x5mm_P1.25mm";1;"MS5611-01BA";;;
24;"R25";"R_0402_1005Metric";1;"220";;;
25;"J6";"JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal";1;"Timer";;;
26;"Y2";"Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm";1;"27MHz";;;
27;"R10,R8";"R_0402_1005Metric";2;"75";;;
28;"J11";"JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal";1;"QMC5883";;;
29;"U1";"PQFN50P450X300X100-16N";1;"BMI088";;;
30;"D1";"LED_0603_1608Metric";1;"LED";;;
31;"R7,R6";"R_0402_1005Metric";2;"22R";;;
32;"C20,C43,C37,C44,C38,C39,C40,C41,C42";"C_0402_1005Metric";9;"22uF";;;
33;"R16";"R_0402_1005Metric";1;"160k";;;
34;"C28,C27";"C_0402_1005Metric";2;"10uF";;;
35;"C30,C29";"C_0402_1005Metric";2;"220nF";;;
36;"C46,C32,C48,C45,C33,C47,C31";"C_0402_1005Metric";7;"1uF";;;
37;"R19,R18,R22,R21,R14,R9,R20";"R_0402_1005Metric";7;"100k";;;
38;"R15";"R_0402_1005Metric";1;"24.9k";;;
39;"L1";"L_Chilisin_BMRB00060650";1;"2.2uH";;;
40;"U10,U9";"SOT-23-5";2;"AP2112K-3.3";;;
41;"R13,R12,R11";"R_0402_1005Metric";3;"1k";;;
42;"L2";"L_Chilisin_BMRB00060650";1;"15uH";;;
43;"C34";"C_0402_1005Metric";1;"0.1uF";;;
44;"U6,U7";"Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias";2;"LMR33630ADDA";;;
45;"U8";"SON65P200X200X80-7N";1;"TLV76733DRVT";;;
46;"J8";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
47;"R17";"R_0402_1005Metric";1;"20k";;;
48;"U5";"SOP65P637X110-28N";1;"MAX7456EUI_";;;
