Designator,Footprint,Quantity,Value,LCSC Part #
"_20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,20,,
"C1, C10, C15, C2, C4, C5",0603,6,1uF,
"C20, C23, C24, C25, C26, C27, C28, C3, C31, C32, C33, C36, C37, C41, C42, C43, C45, C46, C47, C50, C53, C55",0402,22,100nF,
"C21, C22",0402,2,8pF,
"C29, C30, C34",0402,3,2.2uF,
C35,0402,1,10nF,
"C38, C39",0402,2,22pF,
C40,0805,1,22uF,
C44,1210,1,100uF,
C48,0402,1,1uF,
"C49, C51, C52, C54",0603,4,2.2uF,
D1,D_SMF,1,SMF30A,
"D2, D3",0402,2,LED,
D4,Nexperia_CFP3_SOD-123W,1,DSS34,
D5,D_SOD-882,1,PESD12VV1BL,
J1,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,ST-Link Conn,
J10,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,CAM,
J2,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,UART_I2C_GPS,
J4,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_16P,
J5,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,UART5,
J8,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,USART6,
J9,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,1,PWM,
K1,112J-TDAR-R01,1,112J-TDAR-R01,
"L3, L4",L_Sunlord_MWSA0402S,2,15uH,
R1,0603,1,200k,
"R10, R23, R24, R25, R26, R31, R32, R37, R38",0402,9,220R,
"R11, R14, R21, R22, R9",0402,5,10k,
R12,0402,1,118k,
"R13, R44",0402,2,22.1k,
"R15, R17",0402,2,75,
R16,0402,1,100k,
"R18, R19, R20",0402,3,1k,
R2,0603,1,22k,
"R29, R30",0402,2,5.1k,
"R39, R40, R41, R42",0402,4,100R,
R43,0402,1,226k,
"R45, R46, R47, R48",0402,4,4.7K,
"R7, R8",0402,2,220,
SW1,SW_TL3340AF160QG,1,BOOT,
"U1, U2, U5",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,3,TLV76733DRVx,
U10,SOP65P637X110-28N,1,MAX7456EUI_,
"U11, U12",SOT-23-6-DBV_TEX-L,2,LMR54410FDBVR,
U6,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U7,XDCR_BMI270,1,BMI270,
U8,PQFN50P300X250X97-14N,1,ICM-42688-P,
U9,XDCR_DPS310,1,DPS310,
Y1,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,1,8MHz,
Y2,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,1,27MHz,
