Designator,Mid X,Mid Y,Rotation,Layer
_20,83.880453,-71.526903,0.0,top
_19,119.5,-58.45,0.0,top
_18,87.5,-67.526903,0.0,top
_17,111.5,-46.4,270.0,top
_16,112.9,-46.4,270.0,top
_15,111.5,-48.2,270.0,top
_14,83.880453,-65.526903,0.0,top
_13,83.880453,-63.526903,0.0,top
_12,83.880453,-69.526903,0.0,top
_11,119.5,-52.45,0.0,top
_10,87.5,-69.526903,0.0,top
_9,87.5,-65.526903,0.0,top
_8,111.5,-50.0,270.0,top
_7,83.880453,-73.526903,0.0,top
_6,119.5,-56.45,0.0,top
_5,119.5,-54.45,0.0,top
_4,112.9,-50.0,270.0,top
_3,87.5,-71.526903,0.0,top
_2,112.9,-48.2,270.0,top
,83.880453,-67.526903,0.0,top
C1,99.526903,-70.619547,0.0,bottom
C10,89.725,-72.225,90.0,bottom
C15,94.4,-72.225,90.0,bottom
C2,90.522871,-69.376478,0.0,bottom
C20,93.995706,-62.171735,90.0,top
C21,91.4,-59.72,90.0,top
C22,91.4,-61.78,270.0,top
C23,93.12,-58.5,180.0,top
C24,93.12,-64.5,180.0,top
C25,98.3,-70.05,90.0,top
C26,110.65,-58.13,270.0,top
C27,97.9,-53.7,90.0,top
C28,105.7,-70.1,270.0,top
C29,104.6,-70.1,270.0,top
C3,109.7,-83.02,90.0,bottom
C30,109.55,-58.13,270.0,top
C31,97.6,-74.43,270.0,top
C32,93.97,-74.85,180.0,top
C33,105.345,-73.875,180.0,top
C34,105.334644,-74.97903,180.0,top
C35,101.49,-75.55,180.0,top
C36,90.1625,-52.45,90.0,top
C37,90.159062,-54.707685,270.0,top
C38,100.55,-62.83,270.0,bottom
C39,100.55,-60.95,90.0,bottom
C4,90.522871,-64.526478,0.0,bottom
C40,118.5,-64.0,0.0,bottom
C41,111.90487,-62.411114,180.0,bottom
C42,102.073723,-65.125,90.0,bottom
C43,111.903662,-63.369133,180.0,bottom
C44,118.025,-61.25,180.0,bottom
C45,111.906444,-61.423555,0.0,bottom
C46,100.757498,-53.820976,90.0,bottom
C47,119.910335,-70.965921,270.0,bottom
C48,118.743296,-70.977374,270.0,bottom
C49,99.750001,-84.7727,180.0,bottom
C5,99.524847,-65.778097,0.0,bottom
C50,97.800001,-81.5227,90.0,bottom
C51,95.625001,-77.9227,0.0,bottom
C52,104.95,-78.175,270.0,bottom
C53,108.01365,-75.9,180.0,bottom
C54,112.21365,-73.7,90.0,bottom
C55,87.05,-52.65,270.0,top
D1,106.25,-85.5,180.0,bottom
D2,92.39,-83.7,270.0,top
D3,110.1,-84.805,270.0,top
D4,118.5,-68.7,180.0,bottom
D5,117.4,-70.85,90.0,bottom
J1,117.75,-56.325,270.0,top
J10,85.2,-69.1,270.0,bottom
J2,85.68325,-57.5,270.0,bottom
J4,118.6,-68.1,90.0,top
J5,106.575,-43.25,0.0,top
J8,96.025,-43.25,0.0,top
J9,101.7,-83.9,180.0,top
K1,96.85,-41.08175,180.0,bottom
L3,94.850001,-81.8727,90.0,bottom
L4,108.06365,-72.95,180.0,bottom
R1,105.6,-83.5,180.0,bottom
R10,87.05,-54.845,270.0,top
R11,87.05,-57.045,90.0,top
R12,100.400001,-78.2127,270.0,bottom
R13,101.55,-78.2127,90.0,bottom
R14,91.885704,-56.233732,0.0,top
R15,113.625,-61.175,270.0,bottom
R16,111.9033,-60.325,180.0,bottom
R17,113.65,-59.09,270.0,bottom
R18,102.032054,-58.31417,270.0,bottom
R19,111.886541,-58.325,0.0,bottom
R2,108.2,-82.675,90.0,bottom
R20,111.894251,-59.319394,180.0,bottom
R21,97.44729,-53.7,270.0,bottom
R22,102.947919,-53.799872,270.0,bottom
R23,90.39325,-59.375,180.0,bottom
R24,90.39325,-58.117351,180.0,bottom
R25,90.39325,-56.875,180.0,bottom
R26,90.39325,-55.617681,180.0,bottom
R29,112.5,-69.35,180.0,top
R30,113.3,-65.86,90.0,top
R31,107.197627,-48.110016,270.0,top
R32,105.95,-48.1,270.0,top
R37,96.649198,-48.294095,270.0,top
R38,95.4,-48.3,270.0,top
R39,103.575,-79.04,270.0,top
R40,102.32621,-79.040392,270.0,top
R41,101.075,-79.04,270.0,top
R42,99.82621,-79.041437,270.0,top
R43,111.25,-79.1,0.0,bottom
R44,111.26,-80.15,180.0,bottom
R45,95.01,-55.075,0.0,top
R46,95.01,-54.075,0.0,top
R47,90.4,-54.525,0.0,bottom
R48,90.175,-52.5,270.0,bottom
R7,91.3,-83.7,270.0,top
R8,111.2,-84.79,270.0,top
R9,92.9,-62.2,90.0,top
SW1,84.05,-54.35,270.0,top
U1,99.4,-68.25,270.0,bottom
U10,106.75,-61.75,180.0,bottom
U11,100.050001,-81.58635,90.0,bottom
U12,108.06365,-78.15,180.0,bottom
U2,90.4,-66.9625,270.0,bottom
U5,92.1125,-72.1,0.0,bottom
U6,101.65,-62.25,270.0,top
U7,94.95,-72.7,0.0,top
U8,102.1,-73.125,0.0,top
U9,92.1,-53.9,270.0,top
Y1,87.67972,-60.976777,225.0,top
Y2,97.101777,-61.873223,45.0,bottom
