Designator,Footprint,Quantity,Value,LCSC Part #
BOOT,SW_SPDT_PCM12,1,BOOT,
"C1, C2",0805,2,1uF,
"C10, C11, C13, C14, C3, C4, C5, C6, C8",0402,9,100nF,
"C12, C9",0402,2,20pF,
C7,0603,1,10uF,
D1,0805,1,LED,
J1,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
J2,PinSocket_1x04_P2.54mm_Horizontal,1,SWD,
"R1, R2",0402,2,4.7k,
R3,0402,1,1k,
"R4, R5",0402,2,220,
R6,0402,1,1M,
R7,0402,1,10k,
U1,SOT-23-5,1,MIC5504-3.3YM5,
"U2, U3",PQFN50P450X300X100-16N,2,BMI088,
U4,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
