Designator,Mid X,Mid Y,Rotation,Layer
BOOT,168.901595,-48.321595,180.0,top
C1,148.401595,-74.751595,180.0,top
C10,157.378207,-54.299664,90.0,top
C11,147.751595,-63.851595,180.0,top
C12,148.051595,-48.651595,270.0,top
C13,157.341943,-67.680944,270.0,top
C14,161.420301,-58.351595,0.0,top
C2,148.351595,-81.951595,180.0,top
C3,171.051595,-63.051595,270.0,top
C4,144.451595,-59.871595,90.0,top
C5,164.279095,-63.051595,90.0,top
C6,138.451595,-61.825639,270.0,top
C7,159.24344,-54.0177,90.0,top
C8,152.651595,-54.251595,180.0,top
C9,162.456963,-48.598911,270.0,top
D1,143.251595,-70.251595,0.0,top
J1,155.976595,-81.851595,0.0,top
J2,167.711595,-75.151595,90.0,top
R1,166.516595,-67.466595,270.0,top
R2,167.716595,-67.466595,270.0,top
R3,143.651595,-72.351595,0.0,top
R4,156.961595,-74.191595,180.0,top
R5,154.351595,-74.191595,180.0,top
R6,155.051595,-52.251595,180.0,top
R7,171.151595,-52.551595,270.0,top
U1,148.401595,-78.514095,90.0,top
U2,167.716595,-63.051595,270.0,top
U3,141.486595,-60.851595,90.0,top
U4,154.589095,-61.101595,180.0,top
Y1,155.041595,-48.151595,0.0,top
