"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12,C1,C2";"CP_Elec_10x14.3";3;"470uF";;;
2;"J1";"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal";1;"AC_LINE";;;
3;"C27,C38,C37,C14,C24,C26,C13,C18,C23,C5,C15,C8,C25,C43,C39,C28";"C_0603_1608Metric";16;"100nF";;;
4;"R4,R2,R28,R33,R26";"R_0603_1608Metric";5;"1k";;;
5;"C4";"CP_Elec_6.3x5.8";1;"68uF";;;
6;"R15,R20,R19,R29,R10,R18,R40,R22,R42,R41,R14,R21,R39";"R_0603_1608Metric";13;"100R";;;
7;"C22,C46,C20,C19,C9,C45,C40,C31,C44";"C_0805_2012Metric";9;"4.7uF";;;
8;"R16,R17";"R_0603_1608Metric";2;"4.7k";;;
9;"J9,J8";"JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal";2;"Conn_01x06";;;
10;"C3,C10,C47,C21,C17,C16,C11,C7,C32,C41,C42";"C_0805_2012Metric";11;"1uF";;;
11;"F1";"Fuse_1206_3216Metric";1;"Polyfuse";;;
12;"R3,R5,R35,R31,R25";"R_0603_1608Metric";5;"10k";;;
13;"U3";"SO-8_3.9x4.9mm_P1.27mm";1;"M41T62Q";;;
14;"D3,D4,D6,D9,D5";"D_SMA";5;"1N4148";;;
15;"C29,C30";"C_0603_1608Metric";2;"20pF";;;
16;"R36";"R_0603_1608Metric";1;"43k";;;
17;"U2";"SOT-223-3_TabPin2";1;"AP7361C-10E";;;
18;"U4";"Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm";1;"~";;;
19;"R1";"R_Axial_Power_L20.0mm_W6.4mm_P22.40mm";1;"270m";;;
20;"D7,D8";"LED_0805_2012Metric";2;"LED";;;
21;"Q4,Q5,Q3";"SOT-23";3;"MMBT3904";;;
22;"J4";"PinSocket_1x05_P2.54mm_Horizontal";1;"USER_IO";;;
23;"SW1";"SW_SPDT_PCM12";1;"SW_Wuerth_450301014042";;;
24;"K2,K1";"RELAY_ALQ112";2;"ALQ112";;;
25;"R12,R13";"R_0603_1608Metric";2;"5.1k";;;
26;"D2";"D_SMA";1;"B350A-13-F";;;
27;"Y1";"Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm";1;"32.768kHz";;;
28;"U6";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C6Tx";;;
29;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM2675M-5";;;
30;"R23,R24";"R_0603_1608Metric";2;"15R";;;
31;"L1";"L_Chilisin_BMRB00060650";1;"47uH";;;
32;"U7";"SOT-23-6";1;"USBLC6-2SC6";;;
33;"U5";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
34;"D1";"DIP-4_W7.62mm";1;"MDB10S";;;
35;"Q1,Q2";"TO-92_Inline";2;"BC547";;;
36;"T1";"Transformer_Breve_TEZ-22x24";1;"BV302S12010-ZU";;;
37;"C6,C33,C35";"C_0603_1608Metric";3;"10nF";;;
38;"R11";"R_0603_1608Metric";1;"1K";;;
39;"J2";"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal";1;"LIGHT_1";;;
40;"S1";"TO5";1;"~";;;
41;"J7";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
42;"J3";"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal";1;"LIGHT_2";;;
43;"J6";"BarrelJack_Horizontal";1;"5VDC";;;
44;"J5";"BarrelJack_Horizontal";1;"12VDC";;;
45;"Y2";"Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm";1;"16MHz";;;
46;"BZ1";"MagneticBuzzer_ProSignal_ABT-410-RC";1;"Buzzer";;;
47;"R34";"R_0603_1608Metric";1;"220k";;;
48;"C36,C34";"C_1206_3216Metric";2;"33uF";;;
49;"TH1";"R_1206_3216Metric";1;"Thermistor_PTC";;;
50;"R37,R38";"R_0603_1608Metric";2;"0R";;;
51;"R27";"R_0603_1608Metric";1;"100k";;;
52;"R32,R30";"R_0603_1608Metric";2;"560k";;;
53;"U8";"SOT-23-5";1;"OPA310xDBV";;;
54;"U9";"SO14";1;"NCS36000";;;
