Ref,Val,Package,PosX,PosY,Rot,Side
"C28","100nF","C_0603_1608Metric",162.200000,-138.300000,-90.000000,bottom
"C31","4.7uF","C_0805_2012Metric",166.050000,-132.475000,0.000000,bottom
"C32","1uF","C_0805_2012Metric",162.425000,-132.475000,180.000000,bottom
"C33","10nF","C_0603_1608Metric",166.850000,-119.200000,0.000000,bottom
"C34","33uF","C_1206_3216Metric",170.250000,-123.875000,90.000000,bottom
"C35","10nF","C_0603_1608Metric",167.975000,-125.525000,-90.000000,bottom
"C36","33uF","C_1206_3216Metric",167.650000,-129.300000,180.000000,bottom
"C39","100nF","C_0603_1608Metric",152.125000,-122.700000,180.000000,bottom
"C40","4.7uF","C_0805_2012Metric",157.050000,-137.675000,90.000000,bottom
"C41","1uF","C_0805_2012Metric",159.300000,-137.675000,-90.000000,bottom
"C42","1uF","C_0805_2012Metric",151.900000,-119.150000,0.000000,bottom
"C43","100nF","C_0603_1608Metric",152.125000,-121.100000,180.000000,bottom
"C44","4.7uF","C_0805_2012Metric",154.800000,-137.675000,90.000000,bottom
"D8","LED","LED_0805_2012Metric",156.425000,-126.425000,90.000000,bottom
"J8","Conn_01x06","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",150.050000,-135.100000,90.000000,bottom
"R25","10k","R_0603_1608Metric",171.950000,-138.625000,-90.000000,bottom
"R26","1k","R_0603_1608Metric",165.925000,-134.975000,0.000000,bottom
"R27","100k","R_0603_1608Metric",162.300000,-134.975000,0.000000,bottom
"R30","560k","R_0603_1608Metric",166.850000,-120.875000,180.000000,bottom
"R31","10k","R_0603_1608Metric",166.850000,-122.400000,0.000000,bottom
"R32","560k","R_0603_1608Metric",166.150000,-125.525000,90.000000,bottom
"R33","1k","R_0603_1608Metric",156.475000,-121.850000,-90.000000,bottom
"R34","220k","R_0603_1608Metric",154.500000,-121.850000,-90.000000,bottom
"R35","10k","R_0603_1608Metric",171.825000,-128.475000,90.000000,bottom
"R37","0R","R_0603_1608Metric",162.625000,-118.250000,90.000000,bottom
"R38","0R","R_0603_1608Metric",160.375000,-118.250000,90.000000,bottom
"TH1","Thermistor_PTC","R_1206_3216Metric",169.675000,-137.975000,-90.000000,bottom
"U8","OPA310xDBV","SOT-23-5",165.595002,-138.475000,180.000000,bottom
"U9","NCS36000","SO14",161.525000,-124.825000,-90.000000,bottom
"BZ1","Buzzer","MagneticBuzzer_ProSignal_ABT-410-RC",81.075000,-104.450000,0.000000,top
"C1","470uF","CP_Elec_10x14.3",84.257500,-67.025000,180.000000,top
"C2","470uF","CP_Elec_10x14.3",84.257500,-78.750000,180.000000,top
"C3","1uF","C_0805_2012Metric",93.275000,-87.775000,-90.000000,top
"C4","68uF","CP_Elec_6.3x5.8",110.775000,-93.575000,90.000000,top
"C5","100nF","C_0603_1608Metric",96.625000,-87.575000,-90.000000,top
"C6","10nF","C_0603_1608Metric",99.225000,-93.525000,90.000000,top
"C7","1uF","C_0805_2012Metric",111.075000,-86.325000,90.000000,top
"C8","100nF","C_0603_1608Metric",113.300000,-86.500000,90.000000,top
"C9","4.7uF","C_0805_2012Metric",123.400000,-86.325000,90.000000,top
"C10","1uF","C_0805_2012Metric",125.800000,-86.325000,90.000000,top
"C11","1uF","C_0805_2012Metric",121.350000,-120.425000,180.000000,top
"C12","470uF","CP_Elec_10x14.3",107.825000,-122.825000,-90.000000,top
"C13","100nF","C_0603_1608Metric",77.650000,-100.425000,90.000000,top
"C14","100nF","C_0603_1608Metric",136.975000,-118.470000,-90.000000,top
"C15","100nF","C_0603_1608Metric",121.350000,-122.250000,180.000000,top
"C16","1uF","C_0805_2012Metric",139.075000,-118.645000,-90.000000,top
"C17","1uF","C_0805_2012Metric",83.235000,-136.000000,180.000000,top
"C18","100nF","C_0603_1608Metric",83.410000,-134.050000,180.000000,top
"C19","4.7uF","C_0805_2012Metric",83.235000,-138.250000,180.000000,top
